Код подразделения,Название подразделения,Код родителя
АП.2.9.12.2.1.2,Управление собственной доставки,АП.2.9.12.2.1
АП.2.9.11.5,Группа оптимизации бизнес-процессов,АП.2.9.11
АП.2.9.11.8,Группа по работе с возвратами,АП.2.9.11
АП.2.9.11.6,Группа управления репутацией,АП.2.9.11
АП.2.9.11,Департамент по работе с онлайн-клиентами,АП.2.9
АП.2.9.11.4,Отдел Коллект,АП.2.9.11
АП.2.9.11.10,Отдел по поддержке инструментов КЦ,АП.2.9.11
АП.2.9.11.7,Отдел прямых продаж Аутлеты ИМ,АП.2.9.11
АП.2.9.11.2,Отдел развития персонала,АП.2.9.11
АП.2.9.11.1.2,Отдел прямых продаж и обслуживания клиентов,АП.2.9.11.1
АП.2.9.11.1,Управление интернет-продаж,АП.2.9.11
АП.2.9.11.9.2,Отдел информационного сопровождения,АП.2.9.11.9
АП.2.9.11.9.1.2,Аутлеты ИМ,АП.2.9.11.9.1
АП.2.9.11.9.1.1,Группа Коллект,АП.2.9.11.9.1
АП.2.9.11.9.1,Отдел по контролю качества,АП.2.9.11.9
АП.2.9.11.9,Управление по контролю качества и информационной поддержки,АП.2.9.11
АП.2.9.13,Департамент по развитию продаж,АП.2.9
АП.2.9.13.1,Отдел премиальных продаж,АП.2.9.13
АП.2.9.13.2,Отдел стилистов,АП.2.9.13
АП.2.9.13.3.1,Операционная группа,АП.2.9.13.3
АП.2.9.13.3.2,Отдел VIP продаж онлайн в Москве,АП.2.9.13.3
АП.2.9.13.3.3,Отдел VIP продаж онлайн в регионах,АП.2.9.13.3
АП.2.9.1.4,Проектный офис,АП.2.9.1
АП.2.9.1.9.2,Отдел аналитики данных,АП.2.9.1.9
АП.2.9.1.6,Управление по исследованиям и разработке,АП.2.9.1
АП.2.9.1.8.2,Группа мобильных продуктов,АП.2.9.1.8
АП.2.9.1.8.1,Отдел по развитию продуктов контактного центра,АП.2.9.1.8
АП.2.9.1.8,Управление по развитию операционных продуктов,АП.2.9.1
АП.2.9.1.3,Управление по развитию продуктов платформы электронной коммерции (Коллект),АП.2.9.1
АП.2.9.1.2,Управление по развитию сервисов покупателя,АП.2.9.1
АП.2.9.3,Департамент по разработке и сопровождению программного обеспечения,АП.2.9
АП.2.9.3.5.2,Отдел администрирования и эксплуатации информационных систем,АП.2.9.3.5
АП.2.9.3.5.1,Отдел технической поддержки информационных систем,АП.2.9.3.5
АП.2.9.3.8,Отдел системного анализа,АП.2.9.3
АП.2.9.3.7,Управление аналитики,АП.2.9.3
АП.2.9.3.9.1,Отдел алгоритмических продуктов,АП.2.9.3.9
АП.2.9.3.9.1.1,Оффлайн,АП.2.9.3.9.1
АП.2.9.3.9.2,Отдел аналитики данных,АП.2.9.3.9
АП.2.9.3.9.3,Отдел платформы данных,АП.2.9.3.9
АП.2.9.3.9,Управление данных,АП.2.9.3
АП.2.9.3.6,Управление обеспечения контроля качества ПО,АП.2.9.3
АП.2.9.3.4.1,Группа разработки бэкенда сайта,АП.2.9.3.4
АП.2.9.3.4.8,Группа разработки инфраструктурных сервисов,АП.2.9.3.4
АП.2.9.3.4.2,Группа разработки мобильного приложения,АП.2.9.3.4
АП.2.9.3.4.4,Группа разработки платформенных сервисов,АП.2.9.3.4
АП.2.9.3.4.3,Группа разработки сервисов логистики,АП.2.9.3.4
АП.2.9.3.4.7,Группа разработки фронтенда сайта,АП.2.9.3.4
